agent,clinical_pathway,mean_weight,median_weight,std_weight,min_weight,q25_weight,q75_weight,max_weight
TemporalSpatialAgent,temporal_spatial_progression,0.22596468239780484,0.22591923171140788,0.015155547476109421,0.10126827431442142,0.22269172876944932,0.2287410143822173,0.3272051418042475
MultiViewAgent,multi_view_correlation,0.21351493231942914,0.21385642415394335,0.015194089837799985,0.08804840175927661,0.21043577110003286,0.21730997868861274,0.33356881333038446
BilateralAgent,bilateral_asymmetry,0.2105364207515178,0.21146203502064914,0.018516684764637727,0.08052146403735272,0.20746575276588766,0.21499626346228376,0.38038468827617145
LocalRegionalAgent,local_regional_tissue_pattern,0.19813539411478945,0.20103173816365577,0.015390423858094207,0.07253024142106111,0.19711977197741964,0.20385357031473686,0.24683613788433836
AdaptiveControlAgent,adaptive_control_context,0.12200571811174446,0.12113506627243173,0.011331055076384643,0.04370441826832352,0.11871053788938565,0.12449417458629078,0.22247177089265494
MetadataAgent,clinical_metadata_context,0.029842852304714316,0.029338891140409655,0.00268874723500834,0.025491695975208506,0.028763158797378535,0.030294029074245787,0.055023707582303814
