condition,n,positives,negatives,threshold,accuracy,balanced_accuracy,sensitivity_recall,specificity,precision_ppv,npv,f1,mcc,roc_auc,average_precision,resource_setting
AdaptiveWeightFusion,1000,96,904,0.5,0.915,0.5619469026548672,0.125,0.9988938053097345,0.9230769230769231,0.9148936170212766,0.22018348623853212,0.322210116151277,0.7108568399705014,0.3866556402713886,All pathways with case-level adaptive weights
FixedEqualWeightFusion,1000,96,904,0.5,0.912,0.5463219026548672,0.09375,0.9988938053097345,0.9,0.9121212121212121,0.16981132075471697,0.2742954601586821,0.7122050147492626,0.3862538223281692,All pathways with fixed equal weights
StaticGlobalWeightFusion,1000,96,904,0.5,0.915,0.5619469026548672,0.125,0.9988938053097345,0.9230769230769231,0.9148936170212766,0.22018348623853212,0.322210116151277,0.7125622234513276,0.39277815587075443,All pathways with fixed global average weights
Top1_AdaptiveFusion,1000,96,904,0.5,0.915,0.5619469026548672,0.125,0.9988938053097345,0.9230769230769231,0.9148936170212766,0.22018348623853212,0.322210116151277,0.6362635969764012,0.3247401275422161,Top-1 adaptive pathway
Top2_AdaptiveFusion,1000,96,904,0.5,0.916,0.5671552359882006,0.13541666666666666,0.9988938053097345,0.9285714285714286,0.9158215010141988,0.23636363636363636,0.3367652192643737,0.6748018067846608,0.3674002852754561,Top-2 adaptive pathways
Top3_AdaptiveFusion,1000,96,904,0.5,0.914,0.5613938053097345,0.125,0.9977876106194691,0.8571428571428571,0.9148073022312373,0.21818181818181817,0.3078732134935798,0.6854834992625369,0.366434546170431,Top-3 adaptive pathways
Top4_AdaptiveFusion,1000,96,904,0.5,0.915,0.5619469026548672,0.125,0.9988938053097345,0.9230769230769231,0.9148936170212766,0.22018348623853212,0.322210116151277,0.701431139380531,0.37048592991452545,Top-4 adaptive pathways
