agent,clinical_pathway,clinical_interpretation,mean_adaptive_weight,median_adaptive_weight,std_adaptive_weight,dominant_case_count,dominant_case_fraction,agent_roc_auc,agent_average_precision,agent_balanced_accuracy,agent_sensitivity,agent_specificity,agent_f1,agent_mcc,leave_one_out_delta_roc_auc,leave_one_out_delta_average_precision,leave_one_out_delta_f1,primary_minus_agent_roc_auc_delta,primary_vs_agent_bootstrap_p,interpretability_role
TemporalSpatialAgent,temporal_spatial_progression,temporal-spatial progression and longitudinal change evidence,0.22596468239780484,0.22591923171140788,0.015155547476109421,890,0.89,0.6576730733775811,0.344459897159312,0.5567385693215339,0.11458333333333333,0.9988938053097345,0.2037037037037037,0.30701465946530443,-0.0051507190265486,0.0045787202530594,0.0174303683737645,0.0584381913716813,0.001,supporting_or_contextual_contributor
MultiViewAgent,multi_view_correlation,cross-view CC/MLO consistency and complementarity,0.21351493231942914,0.21385642415394335,0.015194089837799985,33,0.033,0.6509437223451328,0.30492934494488355,0.5550792772861357,0.11458333333333333,0.995575221238938,0.1981981981981982,0.26697728715867713,-0.0033877212389379,-0.0015175137869817,0.0,0.0651675424041297,0.002,supporting_or_contextual_contributor
BilateralAgent,bilateral_asymmetry,left-right breast asymmetry and structural difference evidence,0.2105364207515178,0.21146203502064914,0.018516684764637727,72,0.072,0.7039085545722714,0.38483499772069174,0.5868823746312685,0.17708333333333334,0.9966814159292036,0.29310344827586204,0.3656398095817416,0.030892791297935,0.028970228500036,0.0338889906576296,0.012202710176991,0.648,major_positive_contributor
LocalRegionalAgent,local_regional_tissue_pattern,localized tissue-density and regional pattern evidence,0.19813539411478945,0.20103173816365577,0.015390423858094207,5,0.005,0.7052624907817109,0.3640580020804187,0.591537610619469,0.1875,0.995575221238938,0.3050847457627119,0.36767883555197706,0.0081351401179941,0.0052477401800186,0.0521642619311875,0.0108487739675515,0.605,supporting_or_contextual_contributor
AdaptiveControlAgent,adaptive_control_context,case-level adaptive-control and organizational context,0.12200571811174446,0.12113506627243173,0.011331055076384643,0,0.0,0.5811382282448377,0.22682509168543263,0.5216168879056047,0.052083333333333336,0.9911504424778761,0.09174311926605505,0.11243790511528937,-0.0065219395280234,-0.0098415327752561,-0.035796155880797,0.1349730365044247,0.001,supporting_or_contextual_contributor
MetadataAgent,clinical_metadata_context,available metadata-level contextual evidence,0.029842852304714316,0.029338891140409655,0.00268874723500834,0,0.0,0.551288255899705,0.10617864986641308,0.5,0.0,1.0,0.0,0.0,0.0034914269911505,-0.0005784374813019,-0.0503721654838151,0.1648230088495574,0.0,supporting_or_contextual_contributor
